,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,reaction_idx,uid,substrates,products,solvent,reaction_smiles,label,simulation_idx
0,0,4,4,2,4,NC1=CC=C2C=C(Br)C=CC2=C1N.CC(C)(C)OC(=O)N1CCC[C@H]1C(O)=O,CC(C)(C)OC(=O)N1CCCC1C(=O)Nc1c(N)ccc2cc(Br)ccc12,CH2Cl2,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O.Nc1ccc2cc(Br)ccc2c1N>>CC(C)(C)OC(=O)N1CCCC1C(=O)Nc1c(N)ccc2cc(Br)ccc12,0,0.0
1,1,5,5,2,5,NC1=CC=C2C=C(Br)C=CC2=C1N.CC(C)(C)OC(=O)N1CCC[C@H]1C(O)=O,CC(C)(C)OC(=O)N1CCCC1C(=O)Nc1ccc2cc(Br)ccc2c1N,CH2Cl2,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O.Nc1ccc2cc(Br)ccc2c1N>>CC(C)(C)OC(=O)N1CCCC1C(=O)Nc1ccc2cc(Br)ccc2c1N,1,0.0
2,2,6,6,3,6,CC(C)(C)OC(=O)NCCON.[H][C@]12CN([C@@H](CC1)C(O)=O)C(=O)N2OCC1=CC=CC=C1,CC(C)(C)OC(=O)N(CCON)C(=O)C1CCC2CN1C(=O)N2OCc1ccccc1,CH2Cl2,CC(C)(C)OC(=O)NCCON.O=C(O)[C@@H]1CC[C@@H]2CN1C(=O)N2OCc1ccccc1>>CC(C)(C)OC(=O)N(CCON)C(=O)C1CCC2CN1C(=O)N2OCc1ccccc1,0,0.0
3,3,7,7,3,7,CC(C)(C)OC(=O)NCCON.[H][C@]12CN([C@@H](CC1)C(O)=O)C(=O)N2OCC1=CC=CC=C1,CC(C)(C)OC(=O)NCCONC(=O)C1CCC2CN1C(=O)N2OCc1ccccc1,CH2Cl2,CC(C)(C)OC(=O)NCCON.O=C(O)[C@@H]1CC[C@@H]2CN1C(=O)N2OCc1ccccc1>>CC(C)(C)OC(=O)NCCONC(=O)C1CCC2CN1C(=O)N2OCc1ccccc1,1,0.0
4,4,21,21,10,21,[H][C@@](C)(NC(=O)OC(C)(C)C)C(O)=O.NC1=NC=CC=C1NC1=CC=CC=C1,CC(NC(=O)OC(C)(C)C)C(=O)Nc1ncccc1Nc1ccccc1,CH2Cl2,C[C@H](NC(=O)OC(C)(C)C)C(=O)O.Nc1ncccc1Nc1ccccc1>>CC(NC(=O)OC(C)(C)C)C(=O)Nc1ncccc1Nc1ccccc1,1,0.0
5,5,22,22,10,22,[H][C@@](C)(NC(=O)OC(C)(C)C)C(O)=O.NC1=NC=CC=C1NC1=CC=CC=C1,CC(NC(=O)OC(C)(C)C)C(=O)N(c1ccccc1)c1cccnc1N,CH2Cl2,C[C@H](NC(=O)OC(C)(C)C)C(=O)O.Nc1ncccc1Nc1ccccc1>>CC(NC(=O)OC(C)(C)C)C(=O)N(c1ccccc1)c1cccnc1N,0,0.0
6,6,26,26,12,26,OC(=O)C1=NOC(=C1)C1=CC=CC=C1.CC(C)(C)OC(=O)NCCCN,CC(C)(C)OC(=O)NCCCNC(=O)c1cc(-c2ccccc2)on1,CH2Cl2,CC(C)(C)OC(=O)NCCCN.O=C(O)c1cc(-c2ccccc2)on1>>CC(C)(C)OC(=O)NCCCNC(=O)c1cc(-c2ccccc2)on1,1,0.0
7,7,27,27,12,27,OC(=O)C1=NOC(=C1)C1=CC=CC=C1.CC(C)(C)OC(=O)NCCCN,CC(C)(C)OC(=O)N(CCCN)C(=O)c1cc(-c2ccccc2)on1,CH2Cl2,CC(C)(C)OC(=O)NCCCN.O=C(O)c1cc(-c2ccccc2)on1>>CC(C)(C)OC(=O)N(CCCN)C(=O)c1cc(-c2ccccc2)on1,0,0.0
8,8,30,30,14,30,CC(C)(C)OC(=O)NN.OC(=O)C1=C(F)C=CC(Cl)=N1,CC(C)(C)OC(=O)N(N)C(=O)c1nc(Cl)ccc1F,CH2Cl2,CC(C)(C)OC(=O)NN.O=C(O)c1nc(Cl)ccc1F>>CC(C)(C)OC(=O)N(N)C(=O)c1nc(Cl)ccc1F,0,0.0
9,9,31,31,14,31,CC(C)(C)OC(=O)NN.OC(=O)C1=C(F)C=CC(Cl)=N1,CC(C)(C)OC(=O)NNC(=O)c1nc(Cl)ccc1F,CH2Cl2,CC(C)(C)OC(=O)NN.O=C(O)c1nc(Cl)ccc1F>>CC(C)(C)OC(=O)NNC(=O)c1nc(Cl)ccc1F,1,0.0
