,Unnamed: 0,reaction_idx,reaction_type,uid,substrates,products,solvent,reaction_smiles,label,simulation_idx
15,15,5,2,15,COC1=CC=CC=C1OC.ClCCCC(Cl)=O,COc1cccc(C(=O)CCCCl)c1OC,CH2Cl2,COC1=CC=CC=C1OC.ClCCCC(Cl)=O>>COc1cccc(C(=O)CCCCl)c1OC,0,0.0
16,16,5,2,16,COC1=CC=CC=C1OC.ClCCCC(Cl)=O,COc1ccc(C(=O)CCCCl)cc1OC,CH2Cl2,COC1=CC=CC=C1OC.ClCCCC(Cl)=O>>COc1ccc(C(=O)CCCCl)cc1OC,1,0.0
51,51,16,2,51,COC1=CC=CC=C1OC.CCC(Cl)=O,CCC(=O)c1ccc(OC)c(OC)c1,CH2Cl2,COC1=CC=CC=C1OC.CCC(Cl)=O>>CCC(=O)c1ccc(OC)c(OC)c1,1,0.0
52,52,16,2,52,COC1=CC=CC=C1OC.CCC(Cl)=O,CCC(=O)c1cccc(OC)c1OC,CH2Cl2,COC1=CC=CC=C1OC.CCC(Cl)=O>>CCC(=O)c1cccc(OC)c1OC,0,0.0
82,82,26,2,82,C1=CC2=C(C=C1)C1=C(C=CC=C1)C1=C2C=CC=C1.CC(Cl)=O,CC(=O)c1ccc2c3ccccc3c3ccccc3c2c1,CH2Cl2,C1=CC2=C(C=C1)C1=C(C=CC=C1)C1=C2C=CC=C1.CC(Cl)=O>>CC(=O)c1ccc2c3ccccc3c3ccccc3c2c1,1,0.0
83,83,26,2,83,C1=CC2=C(C=C1)C1=C(C=CC=C1)C1=C2C=CC=C1.CC(Cl)=O,CC(=O)c1cccc2c3ccccc3c3ccccc3c12,CH2Cl2,C1=CC2=C(C=C1)C1=C(C=CC=C1)C1=C2C=CC=C1.CC(Cl)=O>>CC(=O)c1cccc2c3ccccc3c3ccccc3c12,0,0.0
122,122,41,2,122,C1CCC2=CC=CC=C2C1.ClCCC(Cl)=O,O=C(CCCl)c1cccc2c1CCCC2,CH2Cl2,C1CCC2=CC=CC=C2C1.ClCCC(Cl)=O>>O=C(CCCl)c1cccc2c1CCCC2,0,0.0
123,123,41,2,123,C1CCC2=CC=CC=C2C1.ClCCC(Cl)=O,O=C(CCCl)c1ccc2c(c1)CCCC2,CH2Cl2,C1CCC2=CC=CC=C2C1.ClCCC(Cl)=O>>O=C(CCCl)c1ccc2c(c1)CCCC2,1,0.0
182,182,58,2,182,NC1=CC=C(Cl)C=C1.ClC(=O)C1=CC=CC=C1,Nc1ccc(Cl)c(C(=O)c2ccccc2)c1,CH2Cl2,NC1=CC=C(Cl)C=C1.ClC(=O)C1=CC=CC=C1>>Nc1ccc(Cl)c(C(=O)c2ccccc2)c1,0,0.0
183,183,58,2,183,NC1=CC=C(Cl)C=C1.ClC(=O)C1=CC=CC=C1,Nc1ccc(Cl)cc1C(=O)c1ccccc1,CH2Cl2,NC1=CC=C(Cl)C=C1.ClC(=O)C1=CC=CC=C1>>Nc1ccc(Cl)cc1C(=O)c1ccccc1,1,0.0
