,Unnamed: 0,reaction_idx,uid,substrates,products,solvent,reaction_smiles,label,simulation_idx
64,64,23,64,SC1CCCCC1.[H]C(=C([H])C1=CC[C@]2([H])C(=C)C(=O)O[C@@]2([H])C[C@@H]1C)C(C)=O,C=C1C(=O)OC2CC(C)C(C(CC(C)=O)SC3CCCCC3)=CCC12,Methanol,SC1CCCCC1.[H]C(=C([H])C1=CC[C@]2([H])C(=C)C(=O)O[C@@]2([H])C[C@@H]1C)C(C)=O>>C=C1C(=O)OC2CC(C)C(C(CC(C)=O)SC3CCCCC3)=CCC12,0,0.0
65,65,23,65,SC1CCCCC1.[H]C(=C([H])C1=CC[C@]2([H])C(=C)C(=O)O[C@@]2([H])C[C@@H]1C)C(C)=O,CC(=O)C=CC1=CCC2C(CC1C)OC(=O)C2CSC1CCCCC1,Methanol,SC1CCCCC1.[H]C(=C([H])C1=CC[C@]2([H])C(=C)C(=O)O[C@@]2([H])C[C@@H]1C)C(C)=O>>CC(=O)C=CC1=CCC2C(CC1C)OC(=O)C2CSC1CCCCC1,1,0.0
66,66,46,66,OC(=O)\C=C\C(=O)C1=CC=C(Br)C=C1.OC(=O)CS,O=C(O)CSC(CC(=O)c1ccc(Br)cc1)C(=O)O,Methanol,OC(=O)\C=C\C(=O)C1=CC=C(Br)C=C1.OC(=O)CS>>O=C(O)CSC(CC(=O)c1ccc(Br)cc1)C(=O)O,1,0.0
67,67,46,67,OC(=O)\C=C\C(=O)C1=CC=C(Br)C=C1.OC(=O)CS,O=C(O)CSC(CC(=O)O)C(=O)c1ccc(Br)cc1,Methanol,OC(=O)\C=C\C(=O)C1=CC=C(Br)C=C1.OC(=O)CS>>O=C(O)CSC(CC(=O)O)C(=O)c1ccc(Br)cc1,0,0.0
122,122,74,122,OC(=O)\C=C\C(=O)C1=CC=CC=C1.OC(=O)CS,O=C(O)CSC(CC(=O)O)C(=O)c1ccccc1,Methanol,OC(=O)\C=C\C(=O)C1=CC=CC=C1.OC(=O)CS>>O=C(O)CSC(CC(=O)O)C(=O)c1ccccc1,0,0.0
123,123,74,123,OC(=O)\C=C\C(=O)C1=CC=CC=C1.OC(=O)CS,O=C(O)CSC(CC(=O)c1ccccc1)C(=O)O,Methanol,OC(=O)\C=C\C(=O)C1=CC=CC=C1.OC(=O)CS>>O=C(O)CSC(CC(=O)c1ccccc1)C(=O)O,1,0.0
128,128,78,128,OC(=O)\C=C\C(=O)C1=CC=C(Cl)C=C1.OC(=O)CS,O=C(O)CSC(CC(=O)c1ccc(Cl)cc1)C(=O)O,Methanol,OC(=O)\C=C\C(=O)C1=CC=C(Cl)C=C1.OC(=O)CS>>O=C(O)CSC(CC(=O)c1ccc(Cl)cc1)C(=O)O,1,0.0
129,129,78,129,OC(=O)\C=C\C(=O)C1=CC=C(Cl)C=C1.OC(=O)CS,O=C(O)CSC(CC(=O)O)C(=O)c1ccc(Cl)cc1,Methanol,OC(=O)\C=C\C(=O)C1=CC=C(Cl)C=C1.OC(=O)CS>>O=C(O)CSC(CC(=O)O)C(=O)c1ccc(Cl)cc1,0,0.0
130,130,79,130,OC(=O)\C=C\C(=O)C1=CC=C(F)C=C1.OC(=O)CS,O=C(O)CSC(CC(=O)c1ccc(F)cc1)C(=O)O,Methanol,OC(=O)\C=C\C(=O)C1=CC=C(F)C=C1.OC(=O)CS>>O=C(O)CSC(CC(=O)c1ccc(F)cc1)C(=O)O,1,0.0
131,131,79,131,OC(=O)\C=C\C(=O)C1=CC=C(F)C=C1.OC(=O)CS,O=C(O)CSC(CC(=O)O)C(=O)c1ccc(F)cc1,Methanol,OC(=O)\C=C\C(=O)C1=CC=C(F)C=C1.OC(=O)CS>>O=C(O)CSC(CC(=O)O)C(=O)c1ccc(F)cc1,0,0.0
