,reaction_idx,uid,substrates,products,solvents,reaction_smiles,label,simulation_idx
0,0,0,Brc1cc(Br)c2ccccc2n1.CNC,CN(C)c1cc(Br)c2ccccc2n1,,Brc1cc(Br)c2ccccc2n1.CNC>>CN(C)c1cc(Br)c2ccccc2n1,1,0.0
1,0,1,Brc1cc(Br)c2ccccc2n1.CNC,CN(C)c1cc(Br)nc2ccccc12,,Brc1cc(Br)c2ccccc2n1.CNC>>CN(C)c1cc(Br)nc2ccccc12,0,0.0
2,1,2,Brc1cc(Br)c2ncc(I)n2n1.C[S-],CSc1cc(Br)c2ncc(I)n2n1,,Brc1cc(Br)c2ncc(I)n2n1.C[S-]>>CSc1cc(Br)c2ncc(I)n2n1,0,0.0
3,1,3,Brc1cc(Br)c2ncc(I)n2n1.C[S-],CSc1cc(Br)nn2c(I)cnc12,,Brc1cc(Br)c2ncc(I)n2n1.C[S-]>>CSc1cc(Br)nn2c(I)cnc12,1,0.0
4,1,4,Brc1cc(Br)c2ncc(I)n2n1.C[S-],CSc1cnc2c(Br)cc(Br)nn12,,Brc1cc(Br)c2ncc(I)n2n1.C[S-]>>CSc1cnc2c(Br)cc(Br)nn12,0,0.0
5,2,5,Brc1cc(Br)c2nonc2c1.C1CCNC1,Brc1cc(N2CCCC2)c2nonc2c1,Water,Brc1cc(Br)c2nonc2c1.C1CCNC1>>Brc1cc(N2CCCC2)c2nonc2c1,1,0.0
6,2,6,Brc1cc(Br)c2nonc2c1.C1CCNC1,Brc1cc(N2CCCC2)cc2nonc12,Water,Brc1cc(Br)c2nonc2c1.C1CCNC1>>Brc1cc(N2CCCC2)cc2nonc12,0,0.0
7,3,7,Brc1cc2ccccc2c(Br)n1.CC(C)(C)OC(=O)N1CCCNCC1,CC(C)(C)OC(=O)N1CCCN(c2cc3ccccc3c(Br)n2)CC1,DMF,Brc1cc2ccccc2c(Br)n1.CC(C)(C)OC(=O)N1CCCNCC1>>CC(C)(C)OC(=O)N1CCCN(c2cc3ccccc3c(Br)n2)CC1,0,0.0
8,3,8,Brc1cc2ccccc2c(Br)n1.CC(C)(C)OC(=O)N1CCCNCC1,CC(C)(C)OC(=O)N1CCCN(c2nc(Br)cc3ccccc23)CC1,DMF,Brc1cc2ccccc2c(Br)n1.CC(C)(C)OC(=O)N1CCCNCC1>>CC(C)(C)OC(=O)N1CCCN(c2nc(Br)cc3ccccc23)CC1,1,0.0
9,4,9,Brc1cc2cccnc2c(Br)n1.CC(C)(C)OC(=O)N1CCC(N)C1,CC(C)(C)OC(=O)N1CCC(Nc2cc3cccnc3c(Br)n2)C1,Water,Brc1cc2cccnc2c(Br)n1.CC(C)(C)OC(=O)N1CCC(N)C1>>CC(C)(C)OC(=O)N1CCC(Nc2cc3cccnc3c(Br)n2)C1,0,0.0
10,4,10,Brc1cc2cccnc2c(Br)n1.CC(C)(C)OC(=O)N1CCC(N)C1,CC(C)(C)OC(=O)N1CCC(Nc2nc(Br)cc3cccnc23)C1,Water,Brc1cc2cccnc2c(Br)n1.CC(C)(C)OC(=O)N1CCC(N)C1>>CC(C)(C)OC(=O)N1CCC(Nc2nc(Br)cc3cccnc23)C1,1,0.0
11,5,11,Brc1ccc(-c2ccc(I)cc2)cc1.CC1(C)c2ccccc2-c2ccc(Nc3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(Br)cc4)cc3)c3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21,Toluene,Brc1ccc(-c2ccc(I)cc2)cc1.CC1(C)c2ccccc2-c2ccc(Nc3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21>>CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(Br)cc4)cc3)c3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21,1,0.0
