,Unnamed: 0.1,Unnamed: 0,reaction_idx,uid,substrates,products,solvents,reaction_smiles,label,simulation_idx,sim_reaction_smiles,barrier
0,0,5,2,0,Brc1cc(Br)c2nonc2c1.C1CCNC1,Brc1cc(N2CCCC2)c2nonc2c1,Water,Brc1cc(Br)c2nonc2c1.C1CCNC1>>Brc1cc(N2CCCC2)c2nonc2c1,0.009526975863998643,0.0,Brc1cc(Br)c2nonc2c1.C1CCNC1>>Brc1cc([NH+]2CCCC2)c2nonc2c1.[Br-],0.009526975863998643
1,1,6,2,1,Brc1cc(Br)c2nonc2c1.C1CCNC1,Brc1cc(N2CCCC2)cc2nonc12,Water,Brc1cc(Br)c2nonc2c1.C1CCNC1>>Brc1cc(N2CCCC2)cc2nonc12,0.010595858716001771,0.0,Brc1cc(Br)c2nonc2c1.C1CCNC1>>Brc1cc([NH+]2CCCC2)cc2nonc12.[Br-],0.010595858716001771
3,3,8,3,3,Brc1cc2ccccc2c(Br)n1.CC(C)(C)OC(=O)N1CCCNCC1,CC(C)(C)OC(=O)N1CCCN(c2nc(Br)cc3ccccc23)CC1,DMF,Brc1cc2ccccc2c(Br)n1.CC(C)(C)OC(=O)N1CCCNCC1>>CC(C)(C)OC(=O)N1CCCN(c2nc(Br)cc3ccccc23)CC1,0.023733070878989793,0.0,Brc1cc2ccccc2c(Br)n1.CC(C)(C)OC(=O)N1CCCNCC1>>CC(C)(C)OC(=O)N1CCC[NH+](c2nc(Br)cc3ccccc23)CC1.[Br-],0.023733070878989793
4,4,9,4,4,Brc1cc2cccnc2c(Br)n1.CC(C)(C)OC(=O)N1CCC(N)C1,CC(C)(C)OC(=O)N1CCC(Nc2cc3cccnc3c(Br)n2)C1,Water,Brc1cc2cccnc2c(Br)n1.CC(C)(C)OC(=O)N1CCC(N)C1>>CC(C)(C)OC(=O)N1CCC(Nc2cc3cccnc3c(Br)n2)C1,0.02961178185201163,0.0,Brc1cc2cccnc2c(Br)n1.CC(C)(C)OC(=O)N1CCC(N)C1>>CC(C)(C)OC(=O)N1CCC([NH2+]c2cc3cccnc3c(Br)n2)C1.[Br-],0.02961178185201163
9,9,20,9,9,Brc1cccc(I)c1.Sc1ccc2ccccc2c1,Ic1cccc(Sc2ccc3ccccc3c2)c1,DMF,Brc1cccc(I)c1.Sc1ccc2ccccc2c1>>Ic1cccc(Sc2ccc3ccccc3c2)c1,0.05578865713700054,0.0,Brc1cccc(I)c1.Sc1ccc2ccccc2c1>>Ic1cccc([SH+]c2ccc3ccccc3c2)c1.[Br-],0.05578865713700054
11,11,22,10,11,Brc1ccccc1-n1c(Br)nnc1-c1ccc(-c2ccccc2)nc1.CNCCOC,COCCN(C)c1nnc(-c2ccc(-c3ccccc3)nc2)n1-c1ccccc1Br,CHCl3,Brc1ccccc1-n1c(Br)nnc1-c1ccc(-c2ccccc2)nc1.CNCCOC>>COCCN(C)c1nnc(-c2ccc(-c3ccccc3)nc2)n1-c1ccccc1Br,0.027497015584003748,0.0,Brc1ccccc1-n1c(Br)nnc1-c1ccc(-c2ccccc2)nc1.CNCCOC>>COCC[NH+](C)c1nnc(-c2ccc(-c3ccccc3)nc2)n1-c1ccccc1Br.[Br-],0.027497015584003748
12,12,38,18,12,Brc1cnc(Br)s1.SCc1ccccc1,Brc1cnc(SCc2ccccc2)s1,"DMF,Water",Brc1cnc(Br)s1.SCc1ccccc1>>Brc1cnc(SCc2ccccc2)s1,0.04079306766900004,0.0,Brc1cnc(Br)s1.SCc1ccccc1>>Brc1cnc([SH+]Cc2ccccc2)s1.[Br-],0.04079306766900004
13,13,39,18,13,Brc1cnc(Br)s1.SCc1ccccc1,Brc1ncc(SCc2ccccc2)s1,"DMF,Water",Brc1cnc(Br)s1.SCc1ccccc1>>Brc1ncc(SCc2ccccc2)s1,0.049991643279000186,0.0,Brc1cnc(Br)s1.SCc1ccccc1>>Brc1ncc([SH+]Cc2ccccc2)s1.[Br-],0.049991643279000186
14,14,64,29,14,C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1Cl.COc1ccc(CN)cc1,C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1NCc1ccc(OC)cc1,DMSO,C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1Cl.COc1ccc(CN)cc1>>C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1NCc1ccc(OC)cc1,0.032608311889006814,0.0,C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1Cl.COc1ccc(CN)cc1>>C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1[NH2+]Cc1ccc(OC)cc1.[Cl-],0.032608311889006814
15,15,65,29,15,C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1Cl.COc1ccc(CN)cc1,C#Cc1cc(Nc2ncnc3cnc(NCc4ccc(OC)cc4)cc23)ccc1Cl,DMSO,C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1Cl.COc1ccc(CN)cc1>>C#Cc1cc(Nc2ncnc3cnc(NCc4ccc(OC)cc4)cc23)ccc1Cl,0.035899926268001536,0.0,C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1Cl.COc1ccc(CN)cc1>>C#Cc1cc(Nc2ncnc3cnc([NH2+]Cc4ccc(OC)cc4)cc23)ccc1Cl.[F-],0.035899926268001536
