,Unnamed: 0,reaction_idx,uid,substrates,products,solvents,reaction_smiles,label,simulation_idx,sim_reaction_smiles
0,5,2,0,Brc1cc(Br)c2nonc2c1.C1CCNC1,Brc1cc(N2CCCC2)c2nonc2c1,Water,Brc1cc(Br)c2nonc2c1.C1CCNC1>>Brc1cc(N2CCCC2)c2nonc2c1,1,0.0,Brc1cc(Br)c2nonc2c1.C1CCNC1>>Brc1cc([NH+]2CCCC2)c2nonc2c1.[Br-]
1,6,2,1,Brc1cc(Br)c2nonc2c1.C1CCNC1,Brc1cc(N2CCCC2)cc2nonc12,Water,Brc1cc(Br)c2nonc2c1.C1CCNC1>>Brc1cc(N2CCCC2)cc2nonc12,0,0.0,Brc1cc(Br)c2nonc2c1.C1CCNC1>>Brc1cc([NH+]2CCCC2)cc2nonc12.[Br-]
2,7,3,2,Brc1cc2ccccc2c(Br)n1.CC(C)(C)OC(=O)N1CCCNCC1,CC(C)(C)OC(=O)N1CCCN(c2cc3ccccc3c(Br)n2)CC1,DMF,Brc1cc2ccccc2c(Br)n1.CC(C)(C)OC(=O)N1CCCNCC1>>CC(C)(C)OC(=O)N1CCCN(c2cc3ccccc3c(Br)n2)CC1,0,0.0,Brc1cc2ccccc2c(Br)n1.CC(C)(C)OC(=O)N1CCCNCC1>>CC(C)(C)OC(=O)N1CCC[NH+](c2cc3ccccc3c(Br)n2)CC1.[Br-]
3,8,3,3,Brc1cc2ccccc2c(Br)n1.CC(C)(C)OC(=O)N1CCCNCC1,CC(C)(C)OC(=O)N1CCCN(c2nc(Br)cc3ccccc23)CC1,DMF,Brc1cc2ccccc2c(Br)n1.CC(C)(C)OC(=O)N1CCCNCC1>>CC(C)(C)OC(=O)N1CCCN(c2nc(Br)cc3ccccc23)CC1,1,0.0,Brc1cc2ccccc2c(Br)n1.CC(C)(C)OC(=O)N1CCCNCC1>>CC(C)(C)OC(=O)N1CCC[NH+](c2nc(Br)cc3ccccc23)CC1.[Br-]
4,9,4,4,Brc1cc2cccnc2c(Br)n1.CC(C)(C)OC(=O)N1CCC(N)C1,CC(C)(C)OC(=O)N1CCC(Nc2cc3cccnc3c(Br)n2)C1,Water,Brc1cc2cccnc2c(Br)n1.CC(C)(C)OC(=O)N1CCC(N)C1>>CC(C)(C)OC(=O)N1CCC(Nc2cc3cccnc3c(Br)n2)C1,0,0.0,Brc1cc2cccnc2c(Br)n1.CC(C)(C)OC(=O)N1CCC(N)C1>>CC(C)(C)OC(=O)N1CCC([NH2+]c2cc3cccnc3c(Br)n2)C1.[Br-]
5,10,4,5,Brc1cc2cccnc2c(Br)n1.CC(C)(C)OC(=O)N1CCC(N)C1,CC(C)(C)OC(=O)N1CCC(Nc2nc(Br)cc3cccnc23)C1,Water,Brc1cc2cccnc2c(Br)n1.CC(C)(C)OC(=O)N1CCC(N)C1>>CC(C)(C)OC(=O)N1CCC(Nc2nc(Br)cc3cccnc23)C1,1,0.0,Brc1cc2cccnc2c(Br)n1.CC(C)(C)OC(=O)N1CCC(N)C1>>CC(C)(C)OC(=O)N1CCC([NH2+]c2nc(Br)cc3cccnc23)C1.[Br-]
6,11,5,6,Brc1ccc(-c2ccc(I)cc2)cc1.CC1(C)c2ccccc2-c2ccc(Nc3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(Br)cc4)cc3)c3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21,Toluene,Brc1ccc(-c2ccc(I)cc2)cc1.CC1(C)c2ccccc2-c2ccc(Nc3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21>>CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(Br)cc4)cc3)c3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21,1,0.0,Brc1ccc(-c2ccc(I)cc2)cc1.CC1(C)c2ccccc2-c2ccc(Nc3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21>>CC1(C)c2ccccc2-c2ccc([NH+](c3ccc(-c4ccc(Br)cc4)cc3)c3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21.[I-]
7,12,5,7,Brc1ccc(-c2ccc(I)cc2)cc1.CC1(C)c2ccccc2-c2ccc(Nc3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(I)cc4)cc3)c3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21,Toluene,Brc1ccc(-c2ccc(I)cc2)cc1.CC1(C)c2ccccc2-c2ccc(Nc3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21>>CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(I)cc4)cc3)c3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21,0,0.0,Brc1ccc(-c2ccc(I)cc2)cc1.CC1(C)c2ccccc2-c2ccc(Nc3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21>>CC1(C)c2ccccc2-c2ccc([NH+](c3ccc(-c4ccc(I)cc4)cc3)c3ccc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)cc3)cc21.[Br-]
8,19,9,8,Brc1cccc(I)c1.Sc1ccc2ccccc2c1,Brc1cccc(Sc2ccc3ccccc3c2)c1,DMF,Brc1cccc(I)c1.Sc1ccc2ccccc2c1>>Brc1cccc(Sc2ccc3ccccc3c2)c1,1,0.0,Brc1cccc(I)c1.Sc1ccc2ccccc2c1>>Brc1cccc([SH+]c2ccc3ccccc3c2)c1.[I-]
9,20,9,9,Brc1cccc(I)c1.Sc1ccc2ccccc2c1,Ic1cccc(Sc2ccc3ccccc3c2)c1,DMF,Brc1cccc(I)c1.Sc1ccc2ccccc2c1>>Ic1cccc(Sc2ccc3ccccc3c2)c1,0,0.0,Brc1cccc(I)c1.Sc1ccc2ccccc2c1>>Ic1cccc([SH+]c2ccc3ccccc3c2)c1.[Br-]
10,21,10,10,Brc1ccccc1-n1c(Br)nnc1-c1ccc(-c2ccccc2)nc1.CNCCOC,COCCN(C)c1ccccc1-n1c(Br)nnc1-c1ccc(-c2ccccc2)nc1,CHCl3,Brc1ccccc1-n1c(Br)nnc1-c1ccc(-c2ccccc2)nc1.CNCCOC>>COCCN(C)c1ccccc1-n1c(Br)nnc1-c1ccc(-c2ccccc2)nc1,0,0.0,Brc1ccccc1-n1c(Br)nnc1-c1ccc(-c2ccccc2)nc1.CNCCOC>>COCC[NH+](C)c1ccccc1-n1c(Br)nnc1-c1ccc(-c2ccccc2)nc1.[Br-]
11,22,10,11,Brc1ccccc1-n1c(Br)nnc1-c1ccc(-c2ccccc2)nc1.CNCCOC,COCCN(C)c1nnc(-c2ccc(-c3ccccc3)nc2)n1-c1ccccc1Br,CHCl3,Brc1ccccc1-n1c(Br)nnc1-c1ccc(-c2ccccc2)nc1.CNCCOC>>COCCN(C)c1nnc(-c2ccc(-c3ccccc3)nc2)n1-c1ccccc1Br,1,0.0,Brc1ccccc1-n1c(Br)nnc1-c1ccc(-c2ccccc2)nc1.CNCCOC>>COCC[NH+](C)c1nnc(-c2ccc(-c3ccccc3)nc2)n1-c1ccccc1Br.[Br-]
12,38,18,12,Brc1cnc(Br)s1.SCc1ccccc1,Brc1cnc(SCc2ccccc2)s1,"DMF,Water",Brc1cnc(Br)s1.SCc1ccccc1>>Brc1cnc(SCc2ccccc2)s1,1,0.0,Brc1cnc(Br)s1.SCc1ccccc1>>Brc1cnc([SH+]Cc2ccccc2)s1.[Br-]
13,39,18,13,Brc1cnc(Br)s1.SCc1ccccc1,Brc1ncc(SCc2ccccc2)s1,"DMF,Water",Brc1cnc(Br)s1.SCc1ccccc1>>Brc1ncc(SCc2ccccc2)s1,0,0.0,Brc1cnc(Br)s1.SCc1ccccc1>>Brc1ncc([SH+]Cc2ccccc2)s1.[Br-]
14,64,29,14,C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1Cl.COc1ccc(CN)cc1,C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1NCc1ccc(OC)cc1,DMSO,C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1Cl.COc1ccc(CN)cc1>>C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1NCc1ccc(OC)cc1,0,0.0,C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1Cl.COc1ccc(CN)cc1>>C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1[NH2+]Cc1ccc(OC)cc1.[Cl-]
15,65,29,15,C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1Cl.COc1ccc(CN)cc1,C#Cc1cc(Nc2ncnc3cnc(NCc4ccc(OC)cc4)cc23)ccc1Cl,DMSO,C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1Cl.COc1ccc(CN)cc1>>C#Cc1cc(Nc2ncnc3cnc(NCc4ccc(OC)cc4)cc23)ccc1Cl,1,0.0,C#Cc1cc(Nc2ncnc3cnc(F)cc23)ccc1Cl.COc1ccc(CN)cc1>>C#Cc1cc(Nc2ncnc3cnc([NH2+]Cc4ccc(OC)cc4)cc23)ccc1Cl.[F-]
